0,1,2
739,List all the affliates that contain Office,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Office%'"
799,What is the name of affiliate with AF-1554 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1554'"
244,List all the authors for W04-2612,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W04-2612' 
1252,How many number of papers have been published in the conference C-25?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-25' ;
316,Count all the papers associated with FieldID F-12.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-12' 
440,what is the summary of paper with paperID W02-0105 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-0105' 
1658,Which conference was held at Workshop On Patent Corpus Processing and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Patent Corpus Processing AND Year=Year;
673,List all the affliates located in Seattle WA,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Seattle WA%'
312,Count all the papers associated with FieldID F-9.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-9' 
435,Count the numberFields associated with paperID P13-1137,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P13-1137'
375,What are the Fields associated with paperID W14-0602?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W14-0602'
706,How many affliates are located in Louveciennes France,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Louveciennes France%
182,How many authors contributed to paper W11-0128,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W11-0128' 
624,List all the Paper IDs of the paper with title starting with Using Clustering to Improve Retrieval Evaluation without Re?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Using Clustering to Improve Retrieval Evaluation without Re%'
1403,How many number of conference have been conducted in the field F-14?,SELECT COUNT(*) FROM ConfID_FieldID WHERE FieldID='F-14' ;
1141,What are the IDs of the Authors whose name begin with B ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'B%';
1602,What is the venue for the conference with the ID C-240?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-240;
297,List all the papers with FieldID F-4,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-4' 
1699,Which conference was held at SWAIE and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=SWAIE AND Year=Year;
466,what is the summary of paper with paperID S12-1076 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'S12-1076' 
1112,"List the Authors whose name begin with Nunzio, Giorgio ?","SELECT AuthID FROM AuthID_Name WHERE Name='Nunzio, Giorgio';"
878,Count all authids with AF-1824,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1824'
382,What are the Fields associated with paperID Q15-1005?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'Q15-1005'
919,Give the affiliationid of A-1475  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-1475'"
127,How many papers are written by A-428?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-428'
1685,Which conference was held at Workshop On Constraints And Language Processing and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Constraints And Language Processing AND Year=Year;
603,What is Paper ID of the paper with title Using HLT For Acquiring Retrieving And Publishing Knowledge In AKT?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Using HLT For Acquiring Retrieving And Publishing Knowledge In AKT'
360,What are the Fields associated with paperID C94-2125?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C94-2125'
1376,How many number of papers have been published with the ID that starts with W99-06?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W99-06%' ;
210,How many authors contributed to paper D07-1128,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D07-1128' 
141,List all the authors who contributed to paper W02-0503,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W02-0503' 
1220,"How many author have name which contains with Nelson, Peter ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Nelson, Peter%';"
1137,What are the IDs of the Authors whose name begin with Schofie ?,SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Schofie%';
817,Where is affiliate Max Planck Institute for Informatics loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Max Planck Institute for Informatics
1341,List the paper ID of the all the paper which in the conference with ID C-481,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-481
863,Count all authids with AF-1016,SELECT Count(AuthID) FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-1016'
1435,What is the Field ID in which the conference with ID C-218 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-218' ;
1086,"What is the ID of the Author whose name is Lee, Hyun Ah ?","SELECT AuthID FROM AuthID_Name WHERE Name='Lee, Hyun Ah';"
622,List all the Paper IDs of the paper with title starting with The Creation of a Corp?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'The Creation of a Corp%'
685,How many affliates are located in Phoenix AZ,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Phoenix AZ%
10,List all the papers which are written by author of authorID A-7273.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7273'
907,Give the affiliationid of A-14850  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-14850'"
283,What is the number of Authors of P15-1038,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P15-1038' 
292,What is the number of Authors of W03-0703,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W03-0703' 
1063,"What is the ID of the Author whose name is Lee, Alan ?","SELECT AuthID FROM AuthID_Name WHERE Name='Lee, Alan';"
619,List all the Paper IDs of the paper with title starting with Sequential?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Sequential%'
130,How many papers are written by A-2429?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-2429'
328,List all the Field IDs associated with paperID D13-1166.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'D13-1166'
1507,How many total conferences have been held at Proceedings of the Workshop on Distributional Semantics and Compositionality?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the Workshop on Distributional Semantics and Compositionality;
607,List all the Paper IDs of the paper with title starting with Speech?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Speech%'
775,What is the name of affiliate with AF-1096 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1096'"
623,List all the Paper IDs of the paper with title starting with Exact Decoding For Join?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Exact Decoding For Join%'
1392,How many number of papers have been published with the ID that starts with N09-10?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'N09-10%' ;
828,Where is affiliate CNRInstitute of Cognitive Sciences and Technology loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'CNRInstitute of Cognitive Sciences and Technology
1208,"How many author have name which contains with Holz,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Holz, %';"
159,List all the authors who contributed to paper P98-1010,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P98-1010' 
714,List all the affliates that contain Department,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Department%'"
521,List titles of all the papers with corresponding paperID,"SELECT PaperID,Title FROM PaperID_Title "
1213,How many author have name which contains with Ba ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Ba%';
602,What is Paper ID of the paper with title Incremental Construction And Maintenance Of Minimal Finite-State Automata?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Incremental Construction And Maintenance Of Minimal Finite-State Automata'
196,How many authors contributed to paper H89-1025,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H89-1025' 
1401,How many number of papers have been published with the ID that starts with W0?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W0%' ;
760,Count all the affliates that contain Naval,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Naval%'
415,Count the numberFields associated with paperID I08-7016,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'I08-7016'
97,How many papers are written by A-11007?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-11007'
1143,"What are the IDs of the Authors whose name begin with Hwang, Seu ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Hwang, Seu%';"
683,How many affliates are located in World Wide Web Consortium,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%World Wide Web Consortium%
157,List all the authors who contributed to paper P14-1037,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P14-1037' 
424,Count the numberFields associated with paperID P10-1067,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P10-1067'
1583,What is the venue for the conference with the ID C-430?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-430;
482,Print summary of paper N10-1002,SELECT Summary from PaperID_Summary WHERE PaperID = 'N10-1002' 
1572,How many total conferences are held in the year 1996?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1996;
783,What is the name of affiliate with AF-1806 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1806'"
811,Where is affiliate IBM Corp loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'IBM Corp
1110,"List the Authors whose name begin with Yablonsky, ?","SELECT AuthID FROM AuthID_Name WHERE Name='Yablonsky,';"
452,what is the summary of paper with paperID P14-5018 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P14-5018' 
987,What is the Name of the Author with ID A-8927 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8927';
179,How many authors contributed to paper C86-1038,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C86-1038' 
395,What are the Fields associated with paperID S14-2095?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'S14-2095'
583,What is Paper ID of the paper with title Evaluating And Combining Approaches To Selectional Preference Acquisition?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Evaluating And Combining Approaches To Selectional Preference Acquisition'
1574,What is the venue for the conference with the ID C-100?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-100;
805,Where is affiliate Universidade Federal do Para loacted?,SELECT Place From AffiliationID_Place_Affiliation WHERE Affiliate LIKE 'Universidade Federal do Para
1402,How many number of papers have been published with the ID that starts with W06?,SELECT COUNT(*) FROM ConfID_PaperID WHERE PaperID LIKE 'W06%' ;
763,Count all the affliates that contain Xinjiang,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Xinjiang%'
1580,What is the venue for the conference with the ID C-128?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-128;
712,List all the affliates that contain University,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%University%'"
1608,What is the venue for the conference with the ID C-387?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-387;
143,List all the authors who contributed to paper D11-1025,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D11-1025' 
1704,List the years in the order of the years with highest to lowest conferences.,"SELECT Year,COUNT(ConfID) FROM ConfID_Venue_Year GROUP BY Year ORDER BY COUNT(ConfID) DESC;"
997,What is the Name of the Author with ID A-10110 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-10110';
1041,Name the author whose ID is A-14817,SELECT Name FROM AuthID_Name WHERE AuthID='A-14817';
641,List all the Paper IDs of the paper with title starting with Modeling Child Divergenc?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Modeling Child Divergenc%'
935,Give the affiliationid of A-17711  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-17711'"
620,List all the Paper IDs of the paper with title starting with Mcdonnell Douglas Electronic Systems Company: Description Of The INLET Sys?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Mcdonnell Douglas Electronic Systems Company: Description Of The INLET Sys%'
295,What is the number of Authors of P09-2059,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P09-2059' 
669,List all the affliates located in Hertfordshire UK,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Hertfordshire UK%'
1720,Name the topic corresponding to the Field ID F-7.,SELECT Topic FROM FieldID_Topic WHERE FieldID=F-7;
89,What are the papers written by A-4262?,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4262'
41,List all the papers which are written by author of authorID A-9473.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-9473'
1693,Which conference was held at Workshop On Analyzing Conversations In Text And Speech and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Analyzing Conversations In Text And Speech AND Year=Year;
132,How many papers are written by A-13012?,SELECT COUNT(PaperID) FROM PaperID_AuthID WHERE AuthID = 'A-13012'
837,List all authids with AF-3,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-3'
715,List all the affliates that contain Konstanz,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Konstanz%'"
829,List all authids with AF-134,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-134'
1617,How many conferences held before 2012?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2012;
1721,How many topics are there?,SELECT DISTINCT COUNT(Topic) FROM FieldID_Topic;
165,List all the authors who contributed to paper W10-1729,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W10-1729' 
291,What is the number of Authors of W12-3802,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W12-3802' 
1656,How many conferences held after 2002?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>2002;
745,Count all the affliates that contain SAIC,SELECT Count(Affiliate) FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%SAIC%'
353,List all the Field IDs associated with paperID W06-0140.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W06-0140'
576,What is Paper ID of the paper with title Efficient Methods for Inferring Large Sparse Topic Hierarchies?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Efficient Methods for Inferring Large Sparse Topic Hierarchies'
1616,How many conferences held before 1997?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1997;
1648,How many conferences held after 1992?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year>1992;
1623,How many conferences held before 2006?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2006;
1355,List the paper ID of the all the paper which in the conference with ID C-316,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-316
1233,"How many author have name which contains with He, Jin ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%He, Jin%';"
1244,How many number of papers have been published in the conference C-475?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-475' ;
463,what is the summary of paper with paperID P15-1143 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P15-1143' 
380,What are the Fields associated with paperID H91-1081?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'H91-1081'
338,List all the Field IDs associated with paperID C04-1111.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C04-1111'
960,List authorids which work in more than 2 fields in ascending order.,"SELECT Count(FieldID), AuthID FROM AuthID_FieldID GROUP BY AuthID HAVING Count(FieldID)>2 ORDER BY Count(FieldID) ASC"
1536,How many total conferences have been held at Proceedings of the NAACL HLT Workshop on Extracting and Using Constructions in Computational Linguistics?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Proceedings of the NAACL HLT Workshop on Extracting and Using Constructions in Computational Linguistics;
1237,How many number of papers have been published in the conference C-318?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-318' ;
892,List the number of authors affiliated with each affiliate which have more than 249 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 249 ORDER BY Count(*) DESC"
729,List all the affliates that contain UPMAIL,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%UPMAIL%'"
1619,How many conferences held before 1999?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1999;
1229,How many author have name which contains with BAtildepara ?,SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%BAtildepara%';
333,List all the Field IDs associated with paperID W06-3710.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W06-3710'
920,Give the affiliationid of A-8829  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-8829'"
323,List all the Field IDs associated with paperID I05-2022.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'I05-2022'
1329,List the paper ID of the all the paper which in the conference with ID C-334,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-334
1154,"What are the IDs of the Authors whose name begin with Naskar, Sudip Kum ?","SELECT AuthID FROM AuthID_Name WHERE Name LIKE 'Naskar, Sudip Kum%';"
1517,How many total conferences have been held at CompuTerm International Workshop On Computational Terminology?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=CompuTerm International Workshop On Computational Terminology;
168,List all the authors who contributed to paper D14-1059,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D14-1059' 
12,List all the papers which are written by author of authorID A-5966.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-5966'
172,List all the authors who contributed to paper D13-1176,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D13-1176' 
654,List all the affliates located in Changhua Taiwan,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Changhua Taiwan%'
261,What is the number of Authors of W13-1602,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W13-1602' 
1427,What is the Field ID in which the conference with ID C-379 is conducted?,SELECT FieldID FROM ConfID_FieldID WHERE ConfID='C-379' ;
1197,"How many author have name which begins with Zajic, Da ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE 'Zajic, Da%';"
677,List all the affliates located in Spokane WA,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Spokane WA%'
259,What is the number of Authors of P09-2006,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P09-2006' 
1010,Name the author whose ID is A-12020,SELECT Name FROM AuthID_Name WHERE AuthID='A-12020';
139,List all the authors who contributed to paper W11-0202,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W11-0202' 
554,What is title of the paper with PaperID N10-1141?,SELECT Title FROM PaperID_Title WHERE PaperID = 'N10-1141'
773,What is the name of affiliate with AF-1945 and where it is located,"SELECT Affiliate,Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID == 'AF-1945'"
1300,What is the Conference ID of the conference in which paper of the id W11-1416 was published?,SELECT ConfID FROM ConfID_PaperID WHERE PaperID='W11-1416';
1205,"How many author have name which contains with Mehrotra,  ?","SELECT COUNT(*) FROM AuthID_Name WHERE Name LIKE '%Mehrotra, %';"
986,What is the Name of the Author with ID A-18251 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-18251';
563,What is Paper ID of the paper with title A Bottom-Up Merging Algorithm For Chinese Unknown Word Extraction?,SELECT PaperID FROM PaperID_Title WHERE Title = 'A Bottom-Up Merging Algorithm For Chinese Unknown Word Extraction'
140,List all the authors who contributed to paper C14-2028,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'C14-2028' 
1519,How many total conferences have been held at Workshop on Computational Approaches to Deception Detection?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop on Computational Approaches to Deception Detection;
536,What is title of the paper with PaperID W08-1131?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W08-1131'
225,List all the authors for W13-3401,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W13-3401' 
732,List all the affliates that contain National,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%National%'"
414,Count the numberFields associated with paperID W03-1210,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W03-1210'
330,List all the Field IDs associated with paperID W00-1215.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W00-1215'
893,List the number of authors affiliated with each affiliate which have more than 268 authors.,"SELECT Count(*),AffiliationID FROM AuthID_AffiliationID GROUP BY AffiliationID HAVING Count(*) > 268 ORDER BY Count(*) DESC"
300,List all the papers with FieldID F-14,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-14' 
1567,How many total conferences are held in the year 2009?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=2009;
945,Give list of authorids in field with F-4,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-4'
1510,How many total conferences have been held at Workshop On Automatic Information Extraction And Building Of Lexical Semantic Resources For NLP Applications?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On Automatic Information Extraction And Building Of Lexical Semantic Resources For NLP Applications;
1620,How many conferences held before 1990?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<1990;
723,List all the affliates that contain Scientific,"SELECT Place,Affiliate,AffiliationID FROM AffiliationID_Place_Affiliation WHERE Affiliate LIKE '%Scientific%'"
194,How many authors contributed to paper W09-1410,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W09-1410' 
445,what is the summary of paper with paperID W02-0309 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-0309' 
578,What is Paper ID of the paper with title Real-time Incremental Speech-to-Speech Translation of Dialogs?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Real-time Incremental Speech-to-Speech Translation of Dialogs'
508,Print summary of paper A88-1014,SELECT Summary from PaperID_Summary WHERE PaperID = 'A88-1014' 
610,List all the Paper IDs of the paper with title starting with Natural?,SELECT PaperID FROM PaperID_Title WHERE Title LIKE 'Natural%'
966,What is the Name of the Author with ID A-8579 ?,SELECT Name FROM AuthID_Name WHERE AuthID='A-8579';
1558,How many total conferences are held in the year 1981?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year=1981;
3,List all the papers which are written by author of authorID A-7609.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-7609'
942,Give list of authorids in field with F-9,SELECT AuthID FROM AuthID_FieldID WHERE FieldID == 'F-9'
472,what is the summary of paper with paperID C90-2058 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C90-2058' 
326,List all the Field IDs associated with paperID C82-2036.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C82-2036'
5,List all the papers which are written by author of authorID A-29.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-29'
223,List all the authors for W07-2066,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'W07-2066' 
552,What is title of the paper with PaperID S13-2085?,SELECT Title FROM PaperID_Title WHERE PaperID = 'S13-2085'
1331,List the paper ID of the all the paper which in the conference with ID C-272,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-272
39,List all the papers which are written by author of authorID A-4301.,SELECT PaperID FROM PaperID_AuthID WHERE AuthID = 'A-4301'
547,What is title of the paper with PaperID W03-1208?,SELECT Title FROM PaperID_Title WHERE PaperID = 'W03-1208'
243,List all the authors for D09-1157,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'D09-1157' 
137,List all the authors who contributed to paper P15-2069,SELECT AuthID FROM PaperID_AuthID WHERE PaperID= 'P15-2069' 
1532,How many total conferences have been held at Workshop On Linking Biological Literature Ontologies And Databases: Mining Biological Semantics?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop On Linking Biological Literature Ontologies And Databases: Mining Biological Semantics;
1339,List the paper ID of the all the paper which in the conference with ID C-138,SELECT PaperID FROM ConfID_PaperID WHERE ConfID='C-138
1056,"What is the ID of the Author whose name is Nagi, Magdy ?","SELECT AuthID FROM AuthID_Name WHERE Name='Nagi, Magdy';"
1064,"What is the ID of the Author whose name is Moze, Sara ?","SELECT AuthID FROM AuthID_Name WHERE Name='Moze, Sara';"
1255,How many number of papers have been published in the conference C-364?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-364' ;
1682,Which conference was held at Workshop On Recent Advances In Dependency Grammar and in Year?,SELECT ConfID FROM ConfID_Venue_Year WHERE Venue=Workshop On Recent Advances In Dependency Grammar AND Year=Year;
954,List fields with the number of authors who work in it in ascending order.,"SELECT FieldID, Count(AuthID) FROM AuthID_FieldID GROUP BY FieldID ORDER BY Count(AuthID) ASC"
1591,What is the venue for the conference with the ID C-132?,SELECT Venue FROM ConfID_Venue_Year WHERE ConfID=C-132;
586,What is Paper ID of the paper with title The Formal Consequences Of Using Variables In CCG Categories?,SELECT PaperID FROM PaperID_Title WHERE Title = 'The Formal Consequences Of Using Variables In CCG Categories'
1539,How many total conferences have been held at Workshop on Cognitive Modeling and Computational Linguistics?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Venue=Workshop on Cognitive Modeling and Computational Linguistics;
1728,Which papers have the keyword ID as K-5784?,SELECT PaperID FROM KeywordID_PaperID WHERE KeywordID=K-5784;
666,List all the affliates located in Saabrucken Germany,SELECT Affiliate FROM AffiliationID_Place_Affiliation WHERE Place LIKE '%Saabrucken Germany%'
1712,What is the field ID for the topic Computational Linguitics on Twitter?,SELECT FieldID FROM FieldID_Topic WHERE Topic=Computational Linguitics on Twitter;
1618,How many conferences held before 2010?,SELECT COUNT(*) FROM ConfID_Venue_Year WHERE Year<2010;
381,What are the Fields associated with paperID A97-1022?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'A97-1022'
1253,How many number of papers have been published in the conference C-401?,SELECT COUNT(*) FROM ConfID_PaperID WHERE ConfID='C-401' ;
319,List all the Field IDs associated with paperID C67-1030.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C67-1030'
447,what is the summary of paper with paperID W06-1408 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W06-1408' 
936,Give the affiliationid of A-17730  ,"SELECT AuthID,AffiliationID FROM AuthID_AffiliationID WHERE AuthID == 'A-17730'"
324,List all the Field IDs associated with paperID C14-1063.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C14-1063'
1022,Name the author whose ID is A-4626,SELECT Name FROM AuthID_Name WHERE AuthID='A-4626';
838,List all authids with AF-96,SELECT AuthID FROM AuthID_AffiliationID WHERE AffiliationID == 'AF-96'
1006,Name the author whose ID is A-458,SELECT Name FROM AuthID_Name WHERE AuthID='A-458';
1278,List all the Conference ID with more than 148 Papers,"SELECT COUNT(*),ConfID FROM ConfID_PaperID GROUP BY ConfID HAVING COUNT(*)>148;"
429,Count the numberFields associated with paperID C14-1133,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C14-1133'
558,What is title of the paper with PaperID P06-2094?,SELECT Title FROM PaperID_Title WHERE PaperID = 'P06-2094'
599,What is Paper ID of the paper with title Language Identification Via Large Vocabulary Speaker Independent Continuous Speech Recognition?,SELECT PaperID FROM PaperID_Title WHERE Title = 'Language Identification Via Large Vocabulary Speaker Independent Continuous Speech Recognition'
