Question [Natural],SQL
How many papers were published after the year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$'
How many papers were published on and before the year 2000 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '2000' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published on and before year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '$Year$'
How many papers were published before year 2000 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '2000' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published before year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '$Year$'
Give all the papers IDs,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID;
Give all the authors IDs,SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID;
Give all the papers which are written by author of authorID '$AuthID$'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
Display all the papers written by '$AuthID$'?,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
Count the papers written by Author ID '$AuthID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
List all the authors who contributed to paper '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Count the number authors who contributed to paper ID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Display all the authors for '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Give the number of Authors of Paper ID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Display all the papers with FieldID '$FieldID$',SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
List the papers associated with FieldID '$FieldID$' ?,SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
Give the papers associated with FieldID $FeildID$,SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
Display all the Field IDs,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID;
Give all the Field IDs associated with paperID '$PaperID$'.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
Display the Fields associated with paperID '$PaperID$'?,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
How many Fields are associated with paperID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
Show summaries of all the papers,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary;
Display the summary of paper with paperID '$PaperID$' ,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
What is the summary of paper ID '$PaperID$',SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
Show titles of all the papers,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title;
List the title of the paper with PaperID '$PaperID$'?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title WHERE PaperID_Title.PaperID='$PaperID$';
Give the Paper ID of the paper with title '$Title$'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title='$Title$';
Show all authids with $AffiliationID$,SELECT DISTINCT AuthID_AffiliationID.AuthID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
Number of authids with $AffliationID$,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
Show the affiliation ID of '$AuthID$'.,SELECT DISTINCT AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AuthID='$AuthID$';
List the author IDs in the field with the ID '$FieldID$',SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
How many authids in field with '$FieldID$',SELECT DISTINCT Count(*) FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
Name the Author with ID '$AuthID$' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
Who is the author with '$AuthID$' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
Display the ID of the Author whose name is '$Name$' ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$';
Display the Authors whose name begin with '$Name$^' ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$'^';
Give the number of papers published in conference with '$ConfID$',SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID$';
List the Conference ID of the conference in which paper of the id '$PaperID$' was published?,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID='$PaperID$';
Display the paper ID of the all the paper which in the conference with ID '$ConfID$',SELECT DISTINCT ConfID_PaperID.PaperID FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID';
What is the number of conference which were conducted in the field with ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
Which conferences were conducted in the field with ID '$FieldID$'?,SELECT DISTINCT ConfID_FieldID.ConfID FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
Show the Field ID in which the conference with ID '$ConfID$' is conducted.,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID='$ConfID$';
In which venues atleast one paper was published? ,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year;
What is the number of conferences which were held at '$Venue$'?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue='$Venue$';
What is the number of conferences which were held in the year $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Year=$Year$;
Give the venue for the conference with the ID '$ConfID$'?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.ConfID='$ConfID$';
List the number of conferences which was held before $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year<$Year$;
How many conferences held after $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year>$Year$;
Count the number of conferences held after $Year$?,SELECT DISTINCT COUNT(ConfID_Venue_Year.ConfID) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue=$Venue$ AND ConfID_Venue_Year.Year>$Year$;
Show all the field IDs.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic;
Show all the topics.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic;
Display the fieldID for the topic '$Topic$'.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic WHERE FieldID_Topic.Topic='$Topic$';
What is the topic corresponding to the Field ID '$FieldID$'?,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic WHERE FieldID_Topic.FieldID='$FieldID$';
Find the number of the topics.,SELECT DISTINCT COUNT(*) FROM FieldID_Topic;
What is the total number of papers published?,SELECT DISTINCT COUNT(*) FROM KeywordID_PaperID;
Count the number of unique keyword IDs?,SELECT DISTINCT COUNT(DISTINCT KeywordID_PaperID.KeywordID) FROM KeywordID_PaperID;
Name the papers with keyword ID as $KeywordID$.,SELECT DISTINCT KeywordID_PaperID.PaperID FROM KeywordID_PaperID WHERE KeywordID_PaperID.KeywordID=$KeywordID$;
Display all the affiliation of the author '$Name$'.,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$';
Display all the authors of the affiliate '$Affiliate$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JfOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
Show all the authors from $Place$.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
Give all the authors from $Place$.,SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$';
Count the number of authors are from $Place$?,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
Name the fields that the affiliate '$Affiliate$' works on.,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
Which affiliates work on the field '$Topic$'?,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE FieldID_Topic.Topic='$Topic$';
What are the fields does the affiliates in the place $Place$ work on?,SELECT DISTINCT FieldID_Topic.Topic FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AffiliationID_Place_Affiliation.Place='$Place$';
Show the author from affiliate '$Affiliate$' who work on the field '$Topic$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='$Topic$' AND AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
Display the authors who on the field Machine Translation and are from affiliate '$Affiliate$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='Machine Translation' AND AffiliationID_Place_Affiliation.Affiliate='$Affiliate$';
Give the authors who on the field '$Topic$' and are from affiliate in the place $Place$.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_FieldID ON AuthID_AffiliationID.AuthID=AuthID_FieldID.AuthID) JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID JOIN AuthID_Name ON AuthID_Name.AuthID=AuthID_AffiliationID.AuthID WHERE FieldID_Topic.Topic='$Topic$' AND AffiliationID_Place_Affiliation.Place='$Place$';
Display the title of the papers published by the author with the Author ID '$AuthID$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE PaperID_AuthID.AuthID='$AuthID$'
Give the title of the papers published by '$Name$'.,SELECT DISTINCT PaperID_Title.Title FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='$Name$'
Count the number of papers that were published by '$Name$'?,SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN PaperID_Title ON PaperID_Title.PaperID=PaperID_AuthID.PaperID WHERE AuthID_Name.Name='$Name$'
Name the author who published the paper with paper ID '$PaperID$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID WHERE PaperID_AuthID.PaperID='$PaperID$'
Display the name of the authors working in the field with field ID '$FieldID$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Give the field IDs of the papers published by '$Name$'.,SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='$Name$'
What are the field topics of the papers published by '$Name$' belong to?,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN AuthID_FieldID ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_Name.Name='$Name$'
Show the title of the papers that come under the field topic '$Topic$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='$Topic$'
Count the number of papers that are published under the topic '$Topic$'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON FieldID_Topic.FieldID=AuthID_FieldID.FieldID WHERE FieldID_Topic.Topic='$Topic$'
Count the number of authors who have published under the topic '$Topic$'?,SELECT DISTINCT COUNT(*) FROM AuthID_FieldID JOIN AuthID_Name ON AuthID_FieldID.AuthID=AuthID_Name.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Display the title of the papers that come under the field with field ID '$FieldID$'.,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Give the number of papers published under the field ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN PaperID_AuthID ON PaperID_Title.PaperID=PaperID_AuthID.PaperID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Display the name of the authors of papers with the field ID '$FieldID$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON AuthID_Name.AuthID=PaperID_AuthID.AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Show the field topics that the paper with the ID '$PaperID$'.,SELECT DISTINCT FieldID_Topic.Topic FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID JOIN FieldID_Topic ON AuthID_FieldID.FieldID=FieldID_Topic.FieldID WHERE PaperID='$PaperID$'
Give the Paper IDs that fall under the field ID '$FieldID$'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Count the number of the papers are published in the field with field ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM PaperID_AuthID JOIN AuthID_FieldID ON PaperID_AuthID.AuthID=AuthID_FieldID.AuthID WHERE AuthID_FieldID.FieldID='$FieldID$'
Who wrote the paper with the title '$Title$'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
In how many years were the conferences on field '$Topic$' held?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic ='$Topic$'
Display all the papers published in conference with ConfID '$ConfID$',SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID ='$ConfID$' 
How many papers were published in conference with ConfID '$ConfID$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID = '$C-14$' 
Which papers were published in conferences at venue '$Venue$'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue ='$Venue$' 
Display the fields corresponding to conference '$ConfID$',SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID WHERE ConfID='$ConfID$' 
Which papers were released in year $Year$?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$' 
How many papers were released in year $Year$?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$' 
Which papers were published in conferences at venue BEA in year $Year$?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='BEA' AND ConfID_Venue_Year.Year='$Year$'
How many papers were published in conferences at venue '$Venue$' in year 2000?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='$Venue$' AND ConfID_Venue_Year.Year='2000'
How many conferences were based on field '$Topic$' at venue Workshop On Parsing Technology?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic = 'Workshop On Parsing Technology' and ConfID_Venue_Year.Venue='$Venue$'
Name the author who published the paper with title '$Title$'.,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
Count the number of authors published the paper with title '$Title$'?,SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
What are the fields of paper with title '$Topic$'?,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
What is the number of fields of paper with title '$Topic$'?,SELECT DISTINCT COUNT(*) FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Topic$'”
What is the number of papers published on and after an year $Year$?,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
Show the papers published on and after an year $Year$,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$'
Which papers were published in year $Year$?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
Give the number of papers published in the year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
Display the ConfID of the paper with paper ID='$PaperID$',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
In which year with paper with paper ID equals '$PaperID$' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
What was the venue of the paper with paper ID equals '$PaperID$' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
What was the year of publishing the paper '$Title$'?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
What was the name of the place where paper '$Title$' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
What is the ConfID of the paper '$Title$',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Topic$'
