Question [Natural],SQL
Venues of the conferences where paper with title '$Title$' was Published,SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID Where PaperID_Title.Title LIKE '$Title$' 
List all the years in which conferences on field '$Topic$' were held.,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$'
No of years in which conferneces on field '$Topic$' were held.,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic = '$Topic$'
list all the papers published in conference with ConfID '$ConfID$',SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID= '$ConfID$' 
No of papers published in conference with ConfID '$ConfID$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.ConfID = $ConfID$ 
List all the papers published in conferences at venue '$Venue$',SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue LIKE '$Venue$' 
Count papers published in conferences at venue '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue = '$Venue$'
Field corresponding to conference '$ConfID$',SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN ConfID_FieldID ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID WHERE ConfID='$ConfID$' 
List all the papers released in year $Year$,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$' 
No of papers released in year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$' 
list all the papers published in conferences at venue '$Venue$' in year 1965,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='$Venue$' AND ConfID_Venue_Year.Year='1965'
No of papers published in conferences at venue '$Venue$' in year 1965,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Venue='$Venue$' AND ConfID_Venue_Year.Year='1965'
List all the conference ID on field '$Topic$' in year 1979,SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$' and ConfID_Venue_Year.Year='1979'
List all the conference venue on field '$Topic$' in year 1973,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$' and ConfID_Venue_Year.Year='1973'
No of conferences on field '$Topic$' in year 1975,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like '$Topic$' and ConfID_Venue_Year.Year='1975'
List all the conferences ID on field 'Dependency Parsing' at venue '$Venue$',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like 'Dependency Parsing' and ConfID_Venue_Year.Venue='$Venue$'
No of conferences on field 'Dependency Parsing' at venue '$Venue$',SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year JOIN ConfID_FieldID ON ConfID_Venue_Year.ConfID=ConfID_FieldID.ConfID JOIN FieldID_Topic ON ConfID_FieldID.FieldID=FieldID_Topic.FieldID Where FieldID_Topic.Topic Like 'Dependency Parsing' and ConfID_Venue_Year.Venue='$Venue$'
Who wrote the paper with the title '$Title$'?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
How many authors wrote the paper with the title '$Title$',SELECT DISTINCT COUNT(*) FROM AuthID_Name JOIN PaperID_AuthID ON PaperID_AuthID.AuthID=AuthID_Name.AuthID JOIN PaperID_Title on PaperID_AuthID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
List the field topics of paper with the title '$Title$',SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Topic$'
How many fields of the paper with the title '$Title$',SELECT DISTINCT COUNT(*) FROM FieldID_Topic JOIN PaperID_FieldID ON FieldID_Topic.FieldID=PaperID_FieldID.FieldID JOIN PaperID_Title on PaperID_FieldID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
How many papers were published on and after an year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
List the papers published on and after an year $Year$,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '$Year$'
List the papers published in year $Year$,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
How many papers were published in the year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='$Year$'
Give ConfID of the paper with paper ID equals '$PaperID$',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
When was the paper with paper ID equals '$PaperID$' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
Where was the paper with paper ID equals '$PaperID$' published?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'
Where and when was the paper with paper ID equals '$PaperID$' published?,"SELECT DISTINCT ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.PaperID='$PaperID$'"
When was the paper '$Title$' published?,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
Where was the paper '$Title$' published,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Title$'
Where and when was the paper '$Title$' published,"SELECT DISTINCT ConfID_Venue_Year.Venue,ConfID_Venue_Year.Year FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Topic$'"
Give ConfID of the paper '$Title$',SELECT DISTINCT ConfID_Venue_Year.ConfID FROM ConfID_Venue_Year JOIN ConfID_PaperID ON ConfID_PaperID.ConfID=ConfID_Venue_Year.ConfID JOIN PaperID_Title ON ConfID_PaperID.PaperID=PaperID_Title.PaperID WHERE PaperID_Title.Title='$Topic$'
List the papers published in the year 2010 at '$Venue$',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='2010' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published in the year 1973 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year='1973' AND ConfID_Venue_Year.Venue='$Venue$'
List the papers published on and after year 1980 at '$Venue$',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '1980' AND ConfID_Venue_Year.Venue='$Venue$'
List the title of the papers published after year 2000 at '$Venue$',SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '2000' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published on and after the year 2005 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year >= '2005' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published after the year 1980 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '1980' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published after the year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year > '$Year$'
How many papers were published on and before the year 2000 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '2000' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published on and before year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year <= '$Year$'
How many papers were published before year 2000 at '$Venue$',SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '2000' AND ConfID_Venue_Year.Venue='$Venue$'
How many papers were published before year $Year$,SELECT DISTINCT COUNT(*) FROM PaperID_Title JOIN ConfID_PaperID ON ConfID_PaperID.PaperID=PaperID_Title.PaperID JOIN ConfID_Venue_Year ON ConfID_Venue_Year.ConfID=ConfID_PaperID.ConfID WHERE ConfID_Venue_Year.Year < '$Year$'
Give all the papers IDs,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID;
Give all the authors IDs,SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID;
Give all the papers which are written by author of authorID '$AuthID$'.,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
Display all the papers written by '$AuthID$'?,SELECT DISTINCT PaperID_AuthID.PaperID FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
Count the papers written by Author ID '$AuthID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.AuthID='$AuthID$';
List all the authors who contributed to paper '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Count the number authors who contributed to paper ID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Display all the authors for '$PaperID$',SELECT DISTINCT PaperID_AuthID.AuthID FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Give the number of Authors of Paper ID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_AuthID WHERE PaperID_AuthID.PaperID= '$PaperID$';
Display all the papers with FieldID '$FieldID$',SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
List the papers associated with FieldID '$FieldID$' ?,SELECT DISTINCT PaperID_FieldID.PaperID FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
Give the papers associated with FieldID $FeildID$,SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.FieldID='$FieldID$';
Display all the Field IDs,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID;
Give all the Field IDs associated with paperID '$PaperID$'.,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
Display the Fields associated with paperID '$PaperID$'?,SELECT DISTINCT PaperID_FieldID.FieldID FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
How many Fields are associated with paperID '$PaperID$',SELECT DISTINCT COUNT(*) FROM PaperID_FieldID WHERE PaperID_FieldID.PaperID='$PaperID$';
Show summaries of all the papers,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary;
Display the summary of paper with paperID '$PaperID$' ,SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
What is the summary of paper ID '$PaperID$',SELECT DISTINCT PaperID_Summary.Summary from PaperID_Summary WHERE PaperID_Summary.PaperID='$PaperID$';
Show titles of all the papers,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title;
Show titles of all the papers along with paperID,"SELECT DISTINCT PaperID_Title.PaperID,PaperID_Title.Title FROM PaperID_Title;"
List the title of the paper with PaperID '$PaperID$'?,SELECT DISTINCT PaperID_Title.Title FROM PaperID_Title WHERE PaperID_Title.PaperID='$PaperID$';
Give the Paper ID of the paper with title '$Title$'?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title='$Title$';
Display all the Paper IDs of the paper with the title starting with '$Title$'^?,SELECT DISTINCT PaperID_Title.PaperID FROM PaperID_Title WHERE PaperID_Title.Title LIKE '$Title$^%';
List the affliates which are located in $Place$,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%$Place$%';
Count all the affliates located at $Place$  ,SELECT DISTINCT Count(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Place LIKE '%$Place$%;
Show all the affliates that contain '$Affiliate$'-,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%$Affiliate$-%';
Number of affliates in that contain $Affliate$,SELECT DISTINCT Count(*) FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '%$Affiliate$-%';
Name and Place of affiliate with ID $AffiliationID$,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.AffiliationID='$AffiliationID$';"
Give the location of the affiliate '$Affiliate$',SELECT DISTINCT AffiliationID_Place_Affiliation.Place FROM AffiliationID_Place_Affiliation WHERE AffiliationID_Place_Affiliation.Affiliate LIKE '$Affiliate$;
Show all authids with $AffiliationID$,SELECT DISTINCT AuthID_AffiliationID.AuthID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
Number of authids with $AffliationID$,SELECT DISTINCT COUNT(*) FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AffiliationID='$AffiliationID$';
Show the number of authors affiliated with each affiliate which have more than $X$ authors.,"SELECT DISTINCT COUNT(*),AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID GROUP BY AuthID_AffiliationID.AffiliationID HAVING COUNT(*) > $X$ ORDER BY COUNT(*) DESC;"
Give the number of authors affiliated with each affiliate.,"SELECT DISTINCT COUNT(*),AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID GROUP BY AuthID_AffiliationID.AffiliationID ORDER BY COUNT(*);"
Show the affiliation ID of '$AuthID$'.,SELECT DISTINCT AuthID_AffiliationID.AffiliationID FROM AuthID_AffiliationID WHERE AuthID_AffiliationID.AuthID='$AuthID$';
List the author IDs in the field with the ID '$FieldID$',SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
How many authids in field with '$FieldID$',SELECT DISTINCT Count(*) FROM AuthID_FieldID WHERE AuthID_FieldID.FieldID='$FieldID$';
List fields with the number of authors who work in it in increasing order.,SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID GROUP BY AuthID_FieldID.FieldID ORDER BY COUNT(*) ASC;
Display fields having greater than $Z$ authors in ascending order.,SELECT DISTINCT AuthID_FieldID.FieldID FROM AuthID_FieldID GROUP BY AuthID_FieldID.FieldID HAVING COUNT(*) > $Z$ ORDER BY COUNT(*) ASC;
Display author IDs which work in more than $W$ fields in ascending order.,SELECT DISTINCT AuthID_FieldID.AuthID FROM AuthID_FieldID GROUP BY AuthID_FieldID.AuthID HAVING Count(*)>$W$ ORDER BY COUNT(*) ASC;
Name the Author with ID '$AuthID$' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
Who is the author with '$AuthID$' ?,SELECT DISTINCT AuthID_Name.Name FROM AuthID_Name WHERE AuthID_Name.AuthID='$AuthID$';
Display the ID of the Author whose name is '$Name$' ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$';
Display the Authors whose name begin with '$Name$^' ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name='$Name$'^';
List the IDs of the Authors whose name begin with '$Name$'^ ?,SELECT DISTINCT AuthID_Name.AuthID FROM AuthID_Name WHERE AuthID_Name.Name LIKE '$Name$'^%';
Give the number of authors whose name starts with '$Name$'^,SELECT DISTINCT COUNT(*) FROM AuthID_Name WHERE AuthID_Name.Name LIKE '$Name$'^%';
Give the number of authors whose name ends with '$Name$'&,SELECT DISTINCT COUNT(*) FROM AuthID_Name WHERE AuthID_Name.Name LIKE '%'$Name$'&%';
Give the number of papers published in conference with '$ConfID$',SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID$';
Display all the Conference ID with more than $X$ Papers,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID GROUP BY ConfID_PaperID.ConfID HAVING COUNT(*)>$X$;
List the Conference ID of the conference in which paper of the id '$PaperID$' was published?,SELECT DISTINCT ConfID_PaperID.ConfID FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID='$PaperID$';
Display the paper ID of the all the paper which in the conference with ID '$ConfID$',SELECT DISTINCT ConfID_PaperID.PaperID FROM ConfID_PaperID WHERE ConfID_PaperID.ConfID='$ConfID';
Count the number of papers have been published with the ID that starts with '$PaperID$'^?,SELECT DISTINCT COUNT(*) FROM ConfID_PaperID WHERE ConfID_PaperID.PaperID LIKE '$PaperID$^%';
What is the number of conference which were conducted in the field with ID '$FieldID$'?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
Which conferences were conducted in the field with ID '$FieldID$'?,SELECT DISTINCT ConfID_FieldID.ConfID FROM ConfID_FieldID WHERE ConfID_FieldID.FieldID='$FieldID$';
Which Field ID have more than $Y$ conferences?,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID GROUP BY ConfID_FieldID.FieldID HAVING COUNT(*)>$Y$;
Show the Field ID in which the conference with ID '$ConfID$' is conducted.,SELECT DISTINCT ConfID_FieldID.FieldID FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID='$ConfID$';
What is the number of conferences which have ID that starts with '$ConfID$'^?,SELECT DISTINCT COUNT(*) FROM ConfID_FieldID WHERE ConfID_FieldID.ConfID LIKE '$ConfID$^%';
In which venues atleast one paper was published? ,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year;
What is the number of conferences which were held at '$Venue$'?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue='$Venue$';
What is the number of conferences which were held in the year $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Year=$Year$;
Give the venue for the conference with the ID '$ConfID$'?,SELECT DISTINCT ConfID_Venue_Year.Venue FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.ConfID='$ConfID$';
List the number of conferences which was held before $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year<$Year$;
How many conferences held after $Year$?,SELECT DISTINCT COUNT(*) FROM ConfID_Venue_Year WHERE Year>$Year$;
Count the number of conferences held after $Year$?,SELECT DISTINCT COUNT(ConfID_Venue_Year.ConfID) FROM ConfID_Venue_Year WHERE ConfID_Venue_Year.Venue=$Venue$ AND ConfID_Venue_Year.Year>$Year$;
Display the years in the order of the years with highest to lowest conferences.,SELECT DISTINCT ConfID_Venue_Year.Year FROM ConfID_Venue_Year GROUP BY ConfID_Venue_Year.Year ORDER BY COUNT(ConfID_Venue_Year.ConfID) DESC;
Show all the field IDs.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic;
Show all the topics.,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic;
Display the fieldID for the topic '$Topic$'.,SELECT DISTINCT FieldID_Topic.FieldID FROM FieldID_Topic WHERE FieldID_Topic.Topic='$Topic$';
What is the topic corresponding to the Field ID '$FieldID$'?,SELECT DISTINCT FieldID_Topic.Topic FROM FieldID_Topic WHERE FieldID_Topic.FieldID='$FieldID$';
Find the number of the topics.,SELECT DISTINCT COUNT(*) FROM FieldID_Topic;
What is the total number of papers published?,SELECT DISTINCT COUNT(*) FROM KeywordID_PaperID;
Count the number of unique keyword IDs?,SELECT DISTINCT COUNT(DISTINCT KeywordID_PaperID.KeywordID) FROM KeywordID_PaperID;
Name the papers with keyword ID as $KeywordID$.,SELECT DISTINCT KeywordID_PaperID.PaperID FROM KeywordID_PaperID WHERE KeywordID_PaperID.KeywordID=$KeywordID$;
Show the keyword IDs with Count from highest to lowest.,SELECT DISTINCT KeywordID_PaperID.KeywordID FROM KeywordID_PaperID GROUP BY KeywordID_PaperID.KeywordID ORDER BY COUNT(*) DESC;
Give the Affiliation of all the authors ?,"SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate,AuthID_Name.Name FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID;"
Display all the affiliation of the author '$Name$'.,SELECT DISTINCT AffiliationID_Place_Affiliation.Affiliate FROM AuthID_AffiliationID JOIN AuthID_Name ON AuthID_AffiliationID.AuthID=AuthID_Name.AuthID JOIN AffiliationID_Place_Affiliation ON AffiliationID_Place_Affiliation.AffiliationID=AuthID_AffiliationID.AffiliationID WHERE AuthID_Name.Name='$Name$';
