,Natural,SQL
242,What is the number of Authors of C08-1007,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C08-1007' 
243,What is the number of Authors of A97-1033,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'A97-1033' 
244,What is the number of Authors of C96-2137,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C96-2137' 
245,What is the number of Authors of C82-2026,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C82-2026' 
246,What is the number of Authors of C92-1033,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C92-1033' 
247,What is the number of Authors of N10-1085,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N10-1085' 
248,What is the number of Authors of C96-1087,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C96-1087' 
249,What is the number of Authors of D12-1064,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'D12-1064' 
250,What is the number of Authors of P13-1076,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P13-1076' 
251,What is the number of Authors of W13-2229,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W13-2229' 
252,What is the number of Authors of C04-1188,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C04-1188' 
253,What is the number of Authors of W10-0208,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W10-0208' 
254,What is the number of Authors of C04-1037,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C04-1037' 
255,What is the number of Authors of W07-2201,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W07-2201' 
256,What is the number of Authors of W13-3207,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W13-3207' 
257,What is the number of Authors of H05-1004,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'H05-1004' 
258,What is the number of Authors of C02-1023,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C02-1023' 
259,What is the number of Authors of W07-1033,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W07-1033' 
260,What is the number of Authors of P15-2025,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P15-2025' 
261,What is the number of Authors of N06-1053,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'N06-1053' 
262,What is the number of Authors of W13-2001,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W13-2001' 
263,What is the number of Authors of J94-4004,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'J94-4004' 
264,What is the number of Authors of C14-1204,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C14-1204' 
265,What is the number of Authors of C73-1007,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'C73-1007' 
266,What is the number of Authors of W04-2318,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W04-2318' 
267,What is the number of Authors of P88-1030,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'P88-1030' 
268,What is the number of Authors of W10-0404,SELECT COUNT(AuthID) FROM PaperID_AuthID WHERE PaperID= 'W10-0404' 
269,List all the papers with FieldID F-4,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-4' 
270,List all the papers with FieldID F-2,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-2' 
271,List all the papers with FieldID F-0,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-0' 
272,List all the papers with FieldID F-4,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-4' 
273,List all the papers with FieldID F-11,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-11' 
274,List all the papers with FieldID F-0,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-0' 
275,List all the papers with FieldID F-8,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-8' 
276,What are the papers associated with FieldID F-9 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-9' 
277,What are the papers associated with FieldID F-3 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-3' 
278,What are the papers associated with FieldID F-8 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-8' 
279,What are the papers associated with FieldID F-0 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-0' 
280,What are the papers associated with FieldID F-6 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-6' 
281,What are the papers associated with FieldID F-8 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-8' 
282,What are the papers associated with FieldID F-12 ?,SELECT PaperID FROM PaperID_FieldID WHERE FieldID = 'F-12' 
283,Count all the papers associated with FieldID F-9.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-9' 
284,Count all the papers associated with FieldID F-10.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-10' 
285,Count all the papers associated with FieldID F-7.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-7' 
286,Count all the papers associated with FieldID F-9.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-9' 
287,Count all the papers associated with FieldID F-6.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-6' 
288,Count all the papers associated with FieldID F-3.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-3' 
289,Count all the papers associated with FieldID F-8.,SELECT COUNT(PaperID) FROM PaperID_FieldID WHERE FieldID = 'F-8' 
290,List all the Field IDs associated with paperID P95-1040.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P95-1040'
291,List all the Field IDs associated with paperID N15-1106.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N15-1106'
292,List all the Field IDs associated with paperID W98-0614.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W98-0614'
293,List all the Field IDs associated with paperID C08-1040.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C08-1040'
294,List all the Field IDs associated with paperID C14-1076.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C14-1076'
295,List all the Field IDs associated with paperID I05-1057.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'I05-1057'
296,List all the Field IDs associated with paperID A97-1024.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'A97-1024'
297,List all the Field IDs associated with paperID W06-1201.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W06-1201'
298,List all the Field IDs associated with paperID P08-1087.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P08-1087'
299,List all the Field IDs associated with paperID N15-1065.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N15-1065'
300,List all the Field IDs associated with paperID P10-2067.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P10-2067'
301,List all the Field IDs associated with paperID W07-1310.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-1310'
302,List all the Field IDs associated with paperID P13-2068.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P13-2068'
303,List all the Field IDs associated with paperID W03-0205.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W03-0205'
304,List all the Field IDs associated with paperID P06-2108.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P06-2108'
305,List all the Field IDs associated with paperID H92-1121.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'H92-1121'
306,List all the Field IDs associated with paperID C10-2017.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C10-2017'
307,List all the Field IDs associated with paperID C14-1201.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C14-1201'
308,List all the Field IDs associated with paperID M93-1001.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'M93-1001'
309,List all the Field IDs associated with paperID E09-1072.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E09-1072'
310,List all the Field IDs associated with paperID W07-0303.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-0303'
311,List all the Field IDs associated with paperID D08-1053.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'D08-1053'
312,List all the Field IDs associated with paperID W14-2903.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W14-2903'
313,List all the Field IDs associated with paperID W11-0317.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W11-0317'
314,List all the Field IDs associated with paperID C88-2130.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C88-2130'
315,List all the Field IDs associated with paperID P03-2015.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P03-2015'
316,List all the Field IDs associated with paperID N12-1078.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N12-1078'
317,List all the Field IDs associated with paperID P07-1084.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P07-1084'
318,List all the Field IDs associated with paperID W00-1201.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W00-1201'
319,List all the Field IDs associated with paperID H93-1025.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'H93-1025'
320,List all the Field IDs associated with paperID C92-1046.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C92-1046'
321,List all the Field IDs associated with paperID W03-1117.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W03-1117'
322,List all the Field IDs associated with paperID D12-1092.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'D12-1092'
323,List all the Field IDs associated with paperID E09-1070.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E09-1070'
324,List all the Field IDs associated with paperID W13-3407.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W13-3407'
325,List all the Field IDs associated with paperID C94-2166.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C94-2166'
326,List all the Field IDs associated with paperID N09-2038.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N09-2038'
327,List all the Field IDs associated with paperID N06-2031.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N06-2031'
328,List all the Field IDs associated with paperID W05-1101.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W05-1101'
329,List all the Field IDs associated with paperID P14-1053.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P14-1053'
330,List all the Field IDs associated with paperID W14-4202.,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W14-4202'
331,What are the Fields associated with paperID W11-2011?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W11-2011'
332,What are the Fields associated with paperID P03-2023?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P03-2023'
333,What are the Fields associated with paperID W13-3207?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W13-3207'
334,What are the Fields associated with paperID W12-1614?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W12-1614'
335,What are the Fields associated with paperID D14-1025?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'D14-1025'
336,What are the Fields associated with paperID W04-3214?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W04-3214'
337,What are the Fields associated with paperID N10-1024?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N10-1024'
338,What are the Fields associated with paperID W03-1114?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W03-1114'
339,What are the Fields associated with paperID N12-1069?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'N12-1069'
340,What are the Fields associated with paperID W11-2501?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W11-2501'
341,What are the Fields associated with paperID C88-1033?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C88-1033'
342,What are the Fields associated with paperID P97-1052?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P97-1052'
343,What are the Fields associated with paperID P13-1141?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P13-1141'
344,What are the Fields associated with paperID S10-1081?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'S10-1081'
345,What are the Fields associated with paperID J93-2006?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'J93-2006'
346,What are the Fields associated with paperID E91-1053?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E91-1053'
347,What are the Fields associated with paperID W07-2073?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W07-2073'
348,What are the Fields associated with paperID S10-1076?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'S10-1076'
349,What are the Fields associated with paperID P04-1044?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P04-1044'
350,What are the Fields associated with paperID E06-1005?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E06-1005'
351,What are the Fields associated with paperID W06-0702?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W06-0702'
352,What are the Fields associated with paperID W12-1015?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W12-1015'
353,What are the Fields associated with paperID C92-4188?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C92-4188'
354,What are the Fields associated with paperID C00-2106?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C00-2106'
355,What are the Fields associated with paperID S14-2007?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'S14-2007'
356,What are the Fields associated with paperID W08-2105?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W08-2105'
357,What are the Fields associated with paperID S13-2060?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'S13-2060'
358,What are the Fields associated with paperID W96-0102?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W96-0102'
359,What are the Fields associated with paperID W12-4507?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W12-4507'
360,What are the Fields associated with paperID P09-1099?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P09-1099'
361,What are the Fields associated with paperID C02-1115?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C02-1115'
362,What are the Fields associated with paperID W05-0607?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W05-0607'
363,What are the Fields associated with paperID C67-1033?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'C67-1033'
364,What are the Fields associated with paperID P04-1029?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P04-1029'
365,What are the Fields associated with paperID P07-1111?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P07-1111'
366,What are the Fields associated with paperID P98-2147?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P98-2147'
367,What are the Fields associated with paperID P02-1010?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'P02-1010'
368,What are the Fields associated with paperID E95-1028?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E95-1028'
369,What are the Fields associated with paperID W09-1109?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'W09-1109'
370,What are the Fields associated with paperID E95-1009?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'E95-1009'
371,What are the Fields associated with paperID I05-3015?,SELECT FieldID FROM PaperID_FieldID WHERE PaperID = 'I05-3015'
372,Count the numberFields associated with paperID W13-2314,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W13-2314'
373,Count the numberFields associated with paperID P15-1056,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P15-1056'
374,Count the numberFields associated with paperID N15-1046,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N15-1046'
375,Count the numberFields associated with paperID C08-1140,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C08-1140'
376,Count the numberFields associated with paperID P04-1070,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P04-1070'
377,Count the numberFields associated with paperID W14-5805,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W14-5805'
378,Count the numberFields associated with paperID W14-3621,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W14-3621'
379,Count the numberFields associated with paperID N07-2034,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N07-2034'
380,Count the numberFields associated with paperID W98-1403,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W98-1403'
381,Count the numberFields associated with paperID P15-1017,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P15-1017'
382,Count the numberFields associated with paperID I05-1032,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'I05-1032'
383,Count the numberFields associated with paperID W06-2938,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W06-2938'
384,Count the numberFields associated with paperID C14-1093,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C14-1093'
385,Count the numberFields associated with paperID P99-1046,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P99-1046'
386,Count the numberFields associated with paperID P11-2009,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P11-2009'
387,Count the numberFields associated with paperID W96-0411,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W96-0411'
388,Count the numberFields associated with paperID C10-2160,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C10-2160'
389,Count the numberFields associated with paperID P10-1064,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P10-1064'
390,Count the numberFields associated with paperID M93-1030,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'M93-1030'
391,Count the numberFields associated with paperID W13-2813,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W13-2813'
392,Count the numberFields associated with paperID W07-1013,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W07-1013'
393,Count the numberFields associated with paperID W07-1312,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W07-1312'
394,Count the numberFields associated with paperID W14-3358,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W14-3358'
395,Count the numberFields associated with paperID W13-2119,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W13-2119'
396,Count the numberFields associated with paperID N04-1021,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N04-1021'
397,Count the numberFields associated with paperID P87-1016,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P87-1016'
398,Count the numberFields associated with paperID W09-0411,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W09-0411'
399,Count the numberFields associated with paperID C14-1023,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C14-1023'
400,Count the numberFields associated with paperID P12-2073,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P12-2073'
401,Count the numberFields associated with paperID J92-3001,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'J92-3001'
402,Count the numberFields associated with paperID W11-0817,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W11-0817'
403,Count the numberFields associated with paperID N07-1002,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N07-1002'
404,Count the numberFields associated with paperID C86-1055,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'C86-1055'
405,Count the numberFields associated with paperID J87-3009,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'J87-3009'
406,Count the numberFields associated with paperID P01-1065,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P01-1065'
407,Count the numberFields associated with paperID P15-2012,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P15-2012'
408,Count the numberFields associated with paperID P12-2058,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'P12-2058'
409,Count the numberFields associated with paperID H05-1024,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'H05-1024'
410,Count the numberFields associated with paperID W07-1011,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W07-1011'
411,Count the numberFields associated with paperID W99-0618,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'W99-0618'
412,Count the numberFields associated with paperID N10-1036,SELECT COUNT(FieldID) FROM PaperID_FieldID WHERE PaperID = 'N10-1036'
413,what is the summary of paper with paperID P09-1062 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P09-1062' 
414,what is the summary of paper with paperID J13-2003 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'J13-2003' 
415,what is the summary of paper with paperID N15-1047 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'N15-1047' 
416,what is the summary of paper with paperID W02-0811 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-0811' 
417,what is the summary of paper with paperID P09-1028 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P09-1028' 
418,what is the summary of paper with paperID W02-1104 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W02-1104' 
419,what is the summary of paper with paperID C96-2184 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C96-2184' 
420,what is the summary of paper with paperID W11-1502 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W11-1502' 
421,what is the summary of paper with paperID C82-2067 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C82-2067' 
422,what is the summary of paper with paperID C14-1217 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C14-1217' 
423,what is the summary of paper with paperID N06-1042 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'N06-1042' 
424,what is the summary of paper with paperID W10-1759 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-1759' 
425,what is the summary of paper with paperID W09-0412 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W09-0412' 
426,what is the summary of paper with paperID P11-2113 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P11-2113' 
427,what is the summary of paper with paperID P14-1017 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P14-1017' 
428,what is the summary of paper with paperID C00-2152 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C00-2152' 
429,what is the summary of paper with paperID P11-2086 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P11-2086' 
430,what is the summary of paper with paperID J07-2003 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'J07-2003' 
431,what is the summary of paper with paperID C10-2029 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C10-2029' 
432,what is the summary of paper with paperID W10-0407 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-0407' 
433,what is the summary of paper with paperID W07-0603 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W07-0603' 
434,what is the summary of paper with paperID P12-1050 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P12-1050' 
435,what is the summary of paper with paperID E85-1040 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E85-1040' 
436,what is the summary of paper with paperID W10-1817 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-1817' 
437,what is the summary of paper with paperID C02-1161 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C02-1161' 
438,what is the summary of paper with paperID H05-1118 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'H05-1118' 
439,what is the summary of paper with paperID E85-1021 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E85-1021' 
440,what is the summary of paper with paperID P04-3007 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P04-3007' 
441,what is the summary of paper with paperID E12-1082 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E12-1082' 
442,what is the summary of paper with paperID P10-1040 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P10-1040' 
443,what is the summary of paper with paperID W13-4037 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W13-4037' 
444,what is the summary of paper with paperID P04-1049 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P04-1049' 
445,what is the summary of paper with paperID E87-1040 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E87-1040' 
446,what is the summary of paper with paperID E93-1044 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'E93-1044' 
447,what is the summary of paper with paperID H05-1122 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'H05-1122' 
448,what is the summary of paper with paperID J88-2004 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'J88-2004' 
449,what is the summary of paper with paperID P99-1019 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'P99-1019' 
450,what is the summary of paper with paperID W03-0801 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W03-0801' 
451,what is the summary of paper with paperID W01-1207 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W01-1207' 
452,what is the summary of paper with paperID W04-3006 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'W04-3006' 
453,what is the summary of paper with paperID C94-1040 ?,SELECT Summary from PaperID_Summary WHERE PaperID = 'C94-1040' 
454,Print summary of paper W01-0702,SELECT Summary from PaperID_Summary WHERE PaperID = 'W01-0702' 
455,Print summary of paper C94-1101,SELECT Summary from PaperID_Summary WHERE PaperID = 'C94-1101' 
456,Print summary of paper P07-1047,SELECT Summary from PaperID_Summary WHERE PaperID = 'P07-1047' 
457,Print summary of paper W01-1506,SELECT Summary from PaperID_Summary WHERE PaperID = 'W01-1506' 
458,Print summary of paper C10-1103,SELECT Summary from PaperID_Summary WHERE PaperID = 'C10-1103' 
459,Print summary of paper P11-1044,SELECT Summary from PaperID_Summary WHERE PaperID = 'P11-1044' 
460,Print summary of paper W12-4213,SELECT Summary from PaperID_Summary WHERE PaperID = 'W12-4213' 
461,Print summary of paper P11-1039,SELECT Summary from PaperID_Summary WHERE PaperID = 'P11-1039' 
462,Print summary of paper C92-2094,SELECT Summary from PaperID_Summary WHERE PaperID = 'C92-2094' 
463,Print summary of paper C02-2028,SELECT Summary from PaperID_Summary WHERE PaperID = 'C02-2028' 
464,Print summary of paper C67-1021,SELECT Summary from PaperID_Summary WHERE PaperID = 'C67-1021' 
465,Print summary of paper E14-1034,SELECT Summary from PaperID_Summary WHERE PaperID = 'E14-1034' 
466,Print summary of paper W10-4335,SELECT Summary from PaperID_Summary WHERE PaperID = 'W10-4335' 
467,Print summary of paper W97-0807,SELECT Summary from PaperID_Summary WHERE PaperID = 'W97-0807' 
468,Print summary of paper W01-1618,SELECT Summary from PaperID_Summary WHERE PaperID = 'W01-1618' 
469,Print summary of paper P15-1040,SELECT Summary from PaperID_Summary WHERE PaperID = 'P15-1040' 
470,Print summary of paper I08-2092,SELECT Summary from PaperID_Summary WHERE PaperID = 'I08-2092' 
471,Print summary of paper W04-2509,SELECT Summary from PaperID_Summary WHERE PaperID = 'W04-2509' 
472,Print summary of paper W11-0610,SELECT Summary from PaperID_Summary WHERE PaperID = 'W11-0610' 
473,Print summary of paper N10-1122,SELECT Summary from PaperID_Summary WHERE PaperID = 'N10-1122' 
474,Print summary of paper D10-1051,SELECT Summary from PaperID_Summary WHERE PaperID = 'D10-1051' 
475,Print summary of paper W12-3715,SELECT Summary from PaperID_Summary WHERE PaperID = 'W12-3715' 
